userId,viewCount
2648705,41
9234180,41
11113167,41
9097818,41
9168624,41
6087904,41
544616,41
3845860,41
5878085,41
10281912,41
8572718,41
11102278,41
8630966,41
34205,41
10152476,41
1136958,41
1603206,41
94867,41
5838092,40
3880374,40
1389245,40
4541127,40
992215,40
6050903,40
819642,40
10733970,40
7971073,40
6323156,40
1644938,40
2188244,40
3506876,40
6608728,40
1551234,40
7264588,40
9886524,40
463285,40
2843323,40
4097000,40
7036704,40
174699,40
5358513,40
5902750,40
2355415,40
443239,40
796990,40
7035916,40
5563416,40
6717937,40
10467453,40
5120999,40
5934249,40
8098780,40
10550773,40
8927938,40
4823437,40
3681513,40
11194755,40
11092594,40
5085098,40
9804327,40
1120820,40
1262461,40
2019536,39
2790087,39
5364770,39
525337,39
3434237,39
3119606,39
6284288,39
5934560,39
388832,39
360087,39
7282675,39
8660454,39
4915590,39
4951386,39
4595311,39
1163922,39
779639,39
2166619,39
5432917,39
7353414,39
122842,39
11346,39
4381241,39
8381502,39
5089894,39
1685593,39
1455819,39
9465554,39
606136,39
9098490,39
10888492,39
9304114,39
75244,39
9355255,39
1492556,39
7817251,39
4824291,39
3650460,39
8816442,39
6798368,39
6673058,39
9371870,39
11508416,39
3259004,39
8113695,39
11437807,39
2492597,38
7865489,38
8891224,38
6593649,38
9348382,38
1277929,38
6723509,38
24787,38
8557412,38
7909309,38
3000467,38
1416182,38
6729307,38
4229800,38
2179540,38
6147583,38
9777487,38
4707759,38
9247668,38
7138762,38
11482217,38
10326592,38
209337,38
5234542,38
2722911,38
2634908,38
550583,38
11028138,38
2457968,38
190237,38
2682162,38
378464,38
5887041,38
1404577,38
3432273,38
69059,38
3568714,38
1083737,38
6246309,38
4429664,38
2246285,38
296676,38
6252407,38
2203278,38
4310305,38
5540710,38
596066,38
6792294,38
4421846,38
1838855,38
10919947,38
251265,38
4524207,38
5262630,38
6914550,38
3281570,37
4185990,37
2270170,37
5101654,37
2133559,37
6248839,37
7895667,37
96,37
2418991,37
10455530,37
2086307,37
5793563,37
2489169,37
8371558,37
4891474,37
11022781,37
7572423,37
8465661,37
2545764,37
11377855,37
2521853,37
10343693,37
1779105,37
1502129,37
9856646,37
9180178,37
2313031,37
2879848,37
9938115,37
3138904,37
8107861,37
5269325,37
7940520,37
5423014,37
6444999,37
11083604,37
11312709,37
583956,37
5971420,37
9442257,37
11265815,37
1855684,37
2059716,37
887449,37
983662,37
1622461,37
343972,37
1000764,37
8441250,37
9167449,37
10991076,37
6587320,37
2396610,37
1256167,37
7850159,37
2061941,36
1614754,36
3651562,36
4492996,36
4991467,36
3304873,36
8667576,36
5769607,36
9728,36
2590525,36
10317025,36
5503480,36
8273693,36
7967,36
2284960,36
5110497,36
6740977,36
3727993,36
8729588,36
9184422,36
6207912,36
6995390,36
4312814,36
8957,36
3020545,36
6452730,36
6315019,36
6031920,36
4995439,36
25100,36
9453094,36
7274844,36
10935926,36
64416,36
934820,36
4912067,36
8681073,36
4031448,36
8944101,36
1589545,36
7344920,36
583055,36
2372252,36
9504344,36
4758366,36
4449523,36
10253,36
11242297,36
6619039,36
6392539,36
2966732,36
2298606,36
11326258,36
2776046,36
3870053,36
4427386,36
4403107,36
6921284,36
9170123,36
2322152,36
9653846,36
7212672,36
1522938,35
488177,35
7600669,35
4703164,35
7744523,35
6323922,35
555014,35
11382664,35
7088023,35
252214,35
1560399,35
2889963,35
2339183,35
2356510,35
5804103,35
67718,35
6585902,35
6812309,35
3949619,35
6341478,35
7736401,35
214370,35
10103509,35
847504,35
8738372,35
4589894,35
8541890,35
3588563,35
6887660,35
4527640,35
1827736,35
7347579,35
2275628,35
7001773,35
3335630,35
6040746,35
4555011,35
4097936,35
3536266,35
13261,35
1233803,35
1276645,35
1086378,35
4751095,35
4590258,35
5796414,35
11237176,35
5013250,35
204360,35
4766707,35
1419061,35
10284777,35
11413672,35
4449209,35
7121569,35
2060058,35
875731,35
7152425,35
4716994,35
3858593,35
